file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
nep_6834_6231233885,0.0,3.8753333333333333,mfa_input,-51.554264658505154,-50.084460223162615,6.1802796916416565,13.33220465287445
nep_2099_7638435165,0.0,8.188,mfa_input,-50.1028311965812,-49.22450779102467,6.1802796916416565,1.3938517500288707
nep_3960_6693238830,0.0,3.921,mfa_input,-50.82656548947704,-52.21284947250829,6.1802796916416565,14.309829000763765
nep_5687_9759257572,0.0,7.178333333333334,mfa_input,-46.700970577994426,-48.97838032062237,6.1802796916416565,13.784256237846165
nep_3614_1428206488,0.0,2.251333333333333,mfa_input,-49.04803385416667,-51.873747657327094,6.180275604140662,18.384006107380987
nep_3960_2047264990,0.0,3.705,mfa_input,-47.91799507243935,-49.62868196824018,6.18027424164033,15.283023434977796
nep_2099_1781886317,0.0,3.865,mfa_input,-46.198360788113696,-47.57205571626362,6.18027424164033,5.719812280762683
nep_6834_0849854974,0.0,6.625333333333334,mfa_input,-49.532510840874814,-50.57951173626009,6.180268791639003,5.898873333215057
nep_5687_9709651893,0.0,6.882666666666666,mfa_input,-46.71075581395349,-47.59713727235794,6.16399490285986,4.291704644112302
nep_2099_1118947558,0.0,7.613666666666667,mfa_input,-45.54401075886991,-46.787064669883414,6.163988196996187,14.258689763030858
nep_6834_7810371653,0.0,3.808,mfa_input,-48.80010970308399,-51.14916706085205,6.118975383105896,13.44337823109676
nep_0546_8860380762,0.0,8.577666666666667,mfa_input,-46.2401524256993,-47.00395124335038,6.118975322892518,9.146309274687045
nep_6834_3344304859,0.0,2.7293333333333334,mfa_input,-48.33405591804029,-49.13612702313591,6.030594062295175,2.9876705532874794
nep_3614_0172878977,0.0,5.002,mfa_input,-49.61495703125,-49.62672859191895,6.003548061573835,4.904838151091623
nep_2099_4913924179,0.0,7.468666666666667,mfa_input,-48.14856300200803,-48.435602794994004,6.003548061573835,6.968158273716286
nep_3960_3736319398,0.0,2.8273333333333333,mfa_input,-51.262322631404594,-53.78794523385855,6.00354065962928,15.103610835163261
nep_7957_4341937167,0.0,3.0803333333333334,mfa_input,-50.547848391842535,-50.81365310668945,6.00354065962928,11.498611867625035
nep_3960_9495476848,0.0,2.6363333333333334,mfa_input,-48.00453879616477,-49.52858679635184,6.00354065962928,14.625651135125702
nep_5687_5273264237,0.0,6.513333333333334,mfa_input,-50.66934283794163,-53.14358611333938,6.00354065962928,6.3044518529220035
nep_6834_5173085348,0.0,6.258,mfa_input,-50.95793917232428,-52.10217119852702,6.00354065962928,11.122271728073825
nep_5687_6685827002,0.0,6.936,mfa_input,-48.730862752161386,-51.599974155426025,6.003533257684726,6.0828350378547
nep_3614_4532064710,0.0,7.308,mfa_input,-47.87565193228454,-49.50327596028646,6.003533257684726,11.011396199871765
nep_6834_7367961655,0.0,10.149,mfa_input,-53.43240070812808,-55.03209199451265,6.003533257684726,5.134429754617791
nep_2099_2092695301,0.0,8.231333333333334,mfa_input,-49.69814607381531,-50.81930377815343,6.003533257684726,3.6594305647739045
nep_5687_8197505801,0.0,8.000333333333334,mfa_input,-47.428271484375,-49.00714116856672,5.985272228879748,7.419184594107239
nep_2099_6300428933,0.0,7.519666666666667,mfa_input,-50.145596118683514,-50.201743248181465,5.912558904899983,8.797550140380409
nep_0883_1901876438,0.0,4.862,mfa_input,-50.96804671424897,-52.19593896671217,5.912550240050939,6.313077392328447
nep_0283_9885544741,0.0,12.162666666666667,mfa_input,-50.58296283922697,-51.77017986413205,5.882737568675345,7.270971476818509
nep_6834_4152589819,0.0,7.902666666666667,mfa_input,-48.51897250791139,-50.39916281266646,5.882724156947998,11.150409198774206
nep_3614_5589893023,0.0,3.3546666666666667,mfa_input,-47.4941260494403,-47.983126286097935,5.882724156947998,6.964141422291812
nep_9407_1174772886,0.0,3.474666666666667,mfa_input,-48.93286766030259,-50.57795426339814,5.882724156947998,5.181065196282681
nep_6834_8677691953,0.0,7.176333333333333,mfa_input,-49.065160384749305,-49.96044651154549,5.882724156947998,4.04053858566936
nep_6834_6318313501,0.0,6.625333333333334,mfa_input,-49.88126296191554,-50.71597159536261,5.882724156947998,4.218068544767949
nep_6834_1201806783,0.0,10.141,mfa_input,-50.875793577416175,-52.809638480345406,5.841957371902122,5.307819567548535
nep_0546_2444457349,0.0,6.814666666666667,mfa_input,-46.04227181993392,-45.067736053466795,5.841957371902122,10.762100653435574
nep_2099_2261012064,0.0,9.351,mfa_input,-48.57694268048128,-49.55703614682567,5.836541268259522,4.462840402041346
nep_3960_9730173161,0.0,10.513333333333334,mfa_input,-49.52324051498573,-50.98988110411401,5.8104670095313695,2.888155632524814
nep_6834_5460988013,0.0,11.67,mfa_input,-52.322545121036846,-53.473340105127406,5.7301160912616655,3.728737213148996
nep_2099_7290413825,0.0,6.883,mfa_input,-49.21858534702035,-51.40408714612325,5.72311178035614,9.207884329071
nep_0546_3782097543,0.0,10.534333333333333,mfa_input,-47.541807632953464,-48.9431091862866,5.723100880353487,9.87575982867465
nep_3614_5484355485,0.0,6.169333333333333,mfa_input,-48.41068489161264,-50.21424951126326,5.723100880353487,4.776440029985338
nep_3614_8656246995,0.0,5.398,mfa_input,-50.57592592592592,-52.61921627338116,5.723100880353487,2.5355744244837197
nep_0546_5591338514,0.0,2.446,mfa_input,-49.36963887117347,-48.43119218614366,5.723098155352823,20.083797151351554
nep_3614_8240574794,0.0,7.171,mfa_input,-48.72349524930265,-50.54915793923771,5.723096792852492,6.2767856384441725
nep_2099_0558451960,0.0,3.9843333333333333,mfa_input,-49.06754966237437,-51.32760057693873,5.723095430352161,7.305867689258061
nep_3960_2154893329,0.0,2.820666666666667,mfa_input,-50.19205382867908,-52.82412811279297,5.723095430352161,2.9400471350267487
nep_3960_0029376226,0.0,8.363,mfa_input,-48.97293660287081,-49.928339214115354,5.723095430352161,9.765670555127176
nep_0546_5292495263,0.0,7.493333333333333,mfa_input,-46.94003462950601,-46.87849210851333,5.723095430352161,6.585619180954367
nep_2099_2636020806,0.0,7.022,mfa_input,-46.08801026086182,-47.13566295917217,5.723095430352161,5.3047562849533225
nep_3614_0925608594,0.0,3.7306666666666666,mfa_input,-49.844216027144775,-52.278518769799206,5.723095430352161,5.394423931605122
nep_3960_3367601833,0.0,7.054333333333333,mfa_input,-50.28742242907801,-50.662194534086844,5.723089980350834,7.988974747447518
nep_2099_7974214122,0.0,8.524666666666667,mfa_input,-49.94787540346244,-50.324497437209224,5.723089980350834,11.551708404667703
nep_3960_0746199497,0.0,4.977333333333333,mfa_input,-50.50775367093374,-51.0819870306521,5.723089980350834,6.0922880005209645
nep_6834_6786807069,0.0,8.441333333333333,mfa_input,-50.79438036877962,-51.51332926462932,5.644317817163472,5.632130184425151
nep_3614_8556776633,0.0,2.851,mfa_input,-49.859296189692984,-52.26599931716919,5.601460116899808,18.168680519125825
nep_3614_2438159929,0.0,4.086333333333333,mfa_input,-47.24710612775061,-47.41180057525635,5.601453411036135,7.331696769442727
nep_0546_1581951551,0.0,2.7403333333333335,mfa_input,-45.185144132071166,-45.04305017911471,5.589736104024817,22.599780120865738
nep_6834_5400599628,0.0,2.283,mfa_input,-45.23092704906798,-46.435646565755206,5.528448327417898,14.323545902221708
nep_6834_9740563659,0.0,6.72,mfa_input,-49.42242722284226,-49.59618054117475,5.521773694044753,9.49213731047722
nep_0546_2028204747,0.0,2.046666666666667,mfa_input,-44.7084365472561,-48.23781947085732,5.460773202051827,3.3644409636488906
nep_3614_4818229087,0.0,2.0493333333333332,mfa_input,-48.27356135670732,-48.27487664473684,5.458724813428774,23.345783875293186
nep_3614_0089798290,0.0,6.530666666666667,mfa_input,-47.673208987366,-48.595623083281936,5.4585471342651,8.979304270063915
nep_2099_7353901615,0.0,10.531333333333333,mfa_input,-46.87444726377018,-47.82063629806682,5.42196869920122,5.874798350258775
nep_0546_4235434290,0.0,2.9023333333333334,mfa_input,-46.125191945043106,-46.847301667736424,5.404924070618135,10.594299694367626
nep_3997_5481065770,0.0,4.220666666666666,mfa_input,-50.2627693646327,-52.57870442158467,5.395147753195726,5.716253847953542
nep_3960_9323547734,0.0,4.361,mfa_input,-48.03356597620413,-47.91638637724377,5.384235662807737,16.458532469770503
nep_0546_0712459277,0.0,8.245,mfa_input,-49.73375946969697,-50.61376953125,5.382628540671169,4.905542471573861
nep_2099_2444485210,0.0,7.6,mfa_input,-50.633177425986844,-50.680241274546425,5.382628540671169,6.106630175399884
